Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome,wiki_description
1,Indus Valley Civilization Flourishes,-,-,2600 BC,India,Civilization,Indus Valley,Development of one of the world's earliest urban civilizations,Local inhabitants,Indus Valley people,Positive,
2,Battle of the Ten Kings,-,-,1400 BC,India,Battle,Punjab,Rigvedic tribes consolidated their control over the region,Rigvedic tribes,Sudas,Positive,"The Battle of the Ten Kings was first alluded to in the 7th Mandala of the Rigveda (RV) and took place between a king of the Bharatas named King Sudas versus a confederation of tribes. It resulted in a decisive victory for the Bharatas and subsequent formation of the Kuru polity. The Battle of the Ten Kings, mentioned in the Rigveda may have ""formed the 'nucleus' of story"" of the Kurukshetra War in the Mahabharata."
6,Establishment of the Delhi Sultanate,-,-,1206,India,Political,Delhi,Muslim rule established in parts of India,People of Delhi and surrounding regions,Qutb-ud-din Aibak,Mixed,
7,Battle of Panipat,21,April,1526,India,Battle,Panipat,Foundation of the Mughal Empire in India,Northern Indian kingdoms,Babur,Mixed,"The Battle of Panipat may refer to the three important battles fought at Panipat, India:First Battle of Panipat (1526), fought between the Mughals under Babur and Ibrahim Lodi 
Second Battle of Panipat (1556), fought between Hemchandra Vikramaditya and the Mughals under Akbar
Third Battle of Panipat (1761), fought between the Maratha Empire and the Durrani Empire under the Afghan king Ahmad Shah Abdali."
8,Establishment of British Raj,1,May,1858,India,Colonial,Whole India,Start of direct British governance in India,Indian subcontinent,British East India Company/Empire,Negative,
9,Partition of India,15,August,1947,India,Partition,India/Pakistan,Creation of India and Pakistan; massive population displacement and violence,"Hindus, Muslims, Sikhs","British Empire, Indian political leaders",Negative,"The partition of India in 1947 was the division of British India into two independent dominion states, the Union of India and Dominion of Pakistan. The Union of India is today the Republic of India and the Dominion of Pakistan, the Islamic Republic of Pakistan, and the People's Republic of Bangladesh. The partition involved the division of two provinces, Bengal and the Punjab, based on district-wise Hindu or Muslim majorities."
10,Indo-Pakistani War of 1971,3,December,1971,India,War,Bangladesh,Led to the independence of Bangladesh,Bengalis in East Pakistan,"Indian Military, Mukti Bahini",Negative,"The Indo-Pakistani war of 1971, also known as the third Indo-Pakistani war, was a military confrontation between India and Pakistan that occurred during the Bangladesh Liberation War in East Pakistan from 3 December 1971 until the Pakistani capitulation in Dhaka on 16 December 1971. The war began with Pakistan's Operation Chengiz Khan, consisting of preemptive aerial strikes on eight Indian air stations. The strikes led to India declaring war on Pakistan, marking their entry into the war for East Pakistan's independence, on the side of Bengali nationalist forces."
11,Pokhran-II Nuclear Tests,11,May,1998,India,Nuclear Test,Pokhran,India declared itself a nuclear state,International community,Atal Bihari Vajpayee,Mixed,
12,Mumbai Terror Attacks,26,November,2008,India,Terrorism,Mumbai,Highlighted the threat of international terrorism,Citizens of Mumbai,Lashkar-e-Taiba,Negative,"The 2008 Mumbai attacks, also referred to as 26/11 attacks, were a series of coordinated Islamist terrorist attacks that took place in November 2008, when 10 members of Lashkar-e-Taiba, a Pakistan-based Islamist militant organisation, carried out 12 shooting and bombing attacks lasting four days across Mumbai. The attacks, which drew widespread global condemnation, began on Wednesday, 26 November, and lasted until Saturday, 29 November 2008. A total of 175 people died, including nine of the attackers, with more than 300 injured."
13,Arrival of Vasco da Gama,20,May,1498,India,Exploration,Calicut,Marked the beginning of European colonial interests in India,Coastal communities,Vasco da Gama,Negative,
14,Battle of Plassey,23,June,1757,India,Battle,Plassey,Foundation for the expansion of British rule in India,Bengal and later all of India,East India Company,Negative,"The Battle of Plassey was a decisive victory of the British East India Company, under the leadership of Robert Clive, over the Nawab of Bengal and his French allies on 23 June 1757. The victory was made possible by the defection of Mir Jafar, Nawab Siraj-ud-Daulah's commander in chief as well as much of the Bengal Subah's armies being earlier committed against an Afghan invasion led by Ahmad Shah Durrani against the Mughal Empire. The battle helped the British East India Company take control of Bengal, Bihar, and Orissa in 1772."
15,First War of Indian Independence,10,May,1857,India,Revolt,Meerut,First large-scale rebellion against British rule,"Rebels, British Raj","Indian soldiers, British East India Company",Negative,"The Indian Rebellion of 1857 was a major uprising in India in 1857–58 against the rule of the British East India Company, which functioned as a sovereign power on behalf of the British Crown. The rebellion began on 10 May 1857 in the form of a mutiny of sepoys of the company's army in the garrison town of Meerut, 40 miles (64 km) northeast of Delhi. It then erupted into other mutinies and civilian rebellions chiefly in the upper Gangetic plain and central India, though incidents of revolt also occurred farther north and east."
